Source,Reference,ScoreAda,ScoreSmall,ScoreLarge
Climate Change and I...,Global politics ...,0.79,0.46,0.43
Climate Change and I...,The Impact of Climat...,0.92,0.79,0.80
Modern Football ...,Global politics ...,0.80,0.44,0.38
Modern Football ...,The Impact of Climat...,0.74,0.34,0.31
